menu
menu_id,restaurant_id,menu_name,price
1,1,Filet Mignon,29.99
2,1,Lobster Thermidor,39.99
3,2,Chicken Alfredo,17.99
4,2,Shrimp Scampi,22.99
5,3,Curry Chicken,15.99
6,3,Spicy Tofu Stir Fry,12.99
7,4,Grilled Salmon,26.99
8,4,Seafood Paella,34.99
9,5,Lasagna Bolognese,18.99
10,5,Pizza Margherita,14.99
11,6,Sushi Combo A,24.99
12,6,Ramen Noodles,11.99
13,7,Tacos al Pastor,9.99
14,7,Enchiladas Verde,12.99
15,8,Beef Bourguignon,31.99
16,8,Quiche Lorraine,15.99
17,9,Chicken Tikka Masala,19.99
18,9,Vegetable Biryani,16.99
19,10,Barbecue Ribs,23.99
20,10,Grilled Corn on the Cob,8.99
21,11,Spaghetti Carbonara,14.99
22,11,Caprese Salad,10.99
23,12,Har Gow (Shrimp Dumplings),8.99
24,12,Chow Mein,12.99
25,13,Crab Cakes,17.99
26,13,Clam Chowder,9.99
27,14,Gyro Platter,15.99
28,14,Moussaka,18.99
29,15,Sashimi Deluxe,27.99
30,15,Miso Soup,5.99
31,16,Carne Asada Burrito,11.99
32,16,Quesadilla,8.99
33,17,Coq au Vin,26.99
34,17,Escargot,20.99
35,18,Chicken Korma,18.99
36,18,Aloo Gobi,14.99
37,19,Barbecue Chicken Wings,10.99
38,19,Loaded Nachos,13.99
39,20,General Tso's Chicken,16.99
40,20,Spring Rolls,6.99
