uses
uses_id,ingredient_id,menu_id
1,1,1
2,2,1
3,3,1
4,4,1
5,5,2
6,6,2
7,7,2
8,8,2
9,9,3
10,10,3
11,11,3
12,12,3
13,13,4
14,14,4
15,15,4
16,16,5
17,17,5
18,18,5
19,19,6
20,20,6
21,21,6
22,22,7
23,23,7
24,24,7
25,25,8
26,26,8
27,27,8
28,28,9
29,29,9
30,30,9
31,1,10
32,2,10
33,3,10
34,4,11
35,5,11
36,6,11
37,7,12
38,8,12
39,9,12
40,10,13
41,11,13
42,12,13
43,13,14
44,14,14
45,15,14
46,16,15
47,17,15
48,18,15
49,19,16
50,20,16
51,21,16
52,22,17
53,23,17
54,24,17
55,25,18
56,26,18
57,27,18
58,28,19
59,29,19
60,30,19
61,1,20
62,2,20
63,3,20
64,4,21
65,5,21
66,6,21
67,7,22
68,8,22
69,9,22
70,10,23
71,11,23
72,12,23
73,13,24
74,14,24
75,15,24
76,16,25
77,17,25
78,18,25
79,19,26
80,20,26
81,21,26
82,22,27
83,23,27
84,24,27
85,25,28
86,26,28
87,27,28
88,28,29
89,29,29
90,30,29
91,1,30
92,2,30
93,3,30
94,4,31
95,5,31
96,6,31
97,7,32
98,8,32
99,9,32
100,10,33
